Text,nb_tokens,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
yes agree way however believe road desired standard public transport service improved people would issue paying higher road licence else use public transport viable alternative imagine right believe right way raising road license immediately would cause nationwide outrage viable alternative imagine right believe right way raising road license immediately would cause nationwide outrage,53.0,0.03773584905660377,0.07547169811320754,0.03773584905660377,0.0,0.0,0.0,0.0,0.0
people still use car cost irrespective price road license even stay hungry,15.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
build new school though mistaken population growth slowed drastically ageing population make sense modernise embellish existing school utilise existing resource instead wasting land build new one,32.0,0.0,0.0,0.03125,0.0625,0.0,0.03125,0.0,0.0625
think living different planet population nearly doubled lifetime,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p take consideration fact people living much longer overall increased life expectancy hence said ageing population,18.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.1111111111111111
amadeo difficult goal reach pn government reach,10.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
touch much anything really either good bad ask,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
well touch anything really absolutely nothing complain government social soul guidance economy flourished sorrow fact u ex pat spend absolute majority pension malta yet rarely ever catered government budget announcement contribute contribute yet invisible government,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
thing needed touched touched greater force,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
great budget maltese ex pat spend pension malta never cared budget,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
explain euro euro euro week alleviate poverty bracket agree minister expert playing around statistic shall try pay bill printed graph,21.0,0.0,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.0
c hour spend,3.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0
paul may draw attention eu foreign creditor,8.0,0.0,0.11764705882352941,0.0,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.0,0.058823529411764705
cigarette petrol diesel gas touched budget know pattern called adjustment,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
custom pn administration,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
great soon start hearing price fixing tuna can project create job increasing price cigarette petty mind,16.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
true prof scicluna great accountant possibly creative,9.0,0.0,0.06944444444444445,0.0,0.027777777777777776,0.041666666666666664,0.0,0.041666666666666664,0.1527777777777778
genius calm keep foot ground see others fly,8.0,0.05,0.25,0.0,0.0,0.15,0.05,0.1,0.2
think meant economics rather account,5.0,0.0,0.07142857142857142,0.0,0.03571428571428571,0.07142857142857142,0.14285714285714285,0.0,0.03571428571428571
,0.0,0.0,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385
worst thing could done touching cigarette otherwise care every administration never give anything pocket called administer,16.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
focus funneled towards motorcycle bicycle malta tiny island every destination reachable minute greatest advantage make biking alot convenient incentive strong enough convinve people use bicycle motorbike traffic problem resolved,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
touch rental market white paper sound like bad news,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
problem requiring rental contract registered concerned landlord might pay tax think government plan build social housing well,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rent market regulated obvious landowner,5.0,0.0,0.01694915254237288,0.0,0.03389830508474576,0.05084745762711865,0.0,0.01694915254237288,0.01694915254237288
obvious,1.0,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.0,0.09090909090909091,0.0,0.0
budget mintoff day used give little maltese form another time country could afford much economy infancy today muscat labour boast surplus super hyper economy yet distribute little maltese people social conscience whatsoever wonder,37.0,0.02666666666666667,0.02666666666666667,0.0,0.05333333333333334,0.04,0.06666666666666667,0.013333333333333334,0.05333333333333334
first surplus pns mess,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
surplus dear certainly see surplus pocket believe go,8.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464
